사업장명,업태구분명,도로명주소,좌표정보(X),좌표정보(Y)
컴포즈커피 신사세로수길점,커피숍,"서울특별시 강남구 논현로175길 58, 지상1층 101호 (신사동)",202066.602429708    ,446916.228862633    
할리스 강남우리라운지점,커피숍,"서울특별시 강남구 테헤란로 301, 삼정빌딩 지상2층 (역삼동)",203744.372341385    ,444548.690712365    
바샤커피 청담점,커피숍,"서울특별시 강남구 압구정로 432, 1층 (청담동)",203826.265014509    ,447157.327182325    
커피박스,커피숍,"서울특별시 강남구 도곡로 112, 1층 (도곡동)",202835.924249933    ,443051.27224413     
티미커피(TiMi coffee),커피숍,"서울특별시 강남구 선릉로130길 20, 1층 106호 (삼성동, 래미안삼성2차아파트)",203770.384197358    ,445992.329114168    
파워커피(PoWer coffee),커피숍,"서울특별시 강남구 역삼로7길 5, 지상1층 (역삼동)",202836.317101951    ,443582.351715307    
나누리 꽃,커피숍,"서울특별시 강남구 개포로109길 5, 대치아파트단지내 상가동 지상1층 109호 (개포동, 대치아파트)",206581.787067095    ,443555.991242524    
젠틀스트릿커피,커피숍,"서울특별시 강남구 테헤란로98길 6-9, 1층 (대치동)",205372.889102359    ,445049.523887163    
메가엠지씨커피 한티역점,커피숍,"서울특별시 강남구 도곡로 405, 삼환 아르누보2 지상1층 105호 (대치동)",204774.550316183    ,443885.217485323    
에이디스토어,커피숍,"서울특별시 강남구 봉은사로105길 50, 지하1층 (삼성동)",205272.303460233    ,446153.1480572      
그린루틴,커피숍,"서울특별시 강남구 테헤란로 428, 지하1층 B101호,B102호,B103호,B104호 중 일부호 (대치동, 테헤란로 대우 아이빌)",204705.273047989    ,444831.426571868    
국민우유집 강남논현점,커피숍,"서울특별시 강남구 봉은사로1길 35, 1층 일부호 (논현동)",202056.105851493    ,444977.96960847     
와플반트,커피숍,"서울특별시 강남구 논현로 656, 지상1층 (논현동)",202743.773581145    ,445591.57677316     
타래커피 선릉점,커피숍,"서울특별시 강남구 테헤란로55길 28, 1층 (역삼동)",204061.012566808    ,444880.044575374    
바나프레소 역삼그랑블점,커피숍,"서울특별시 강남구 논현로63길 16, 105호 (역삼동, 강남서해그랑블)",203389.562748068    ,443422.779316247    
스타벅스 삼성휘문점,커피숍,"서울특별시 강남구 영동대로85길 7, 1~2층 (대치동)",205509.42           ,444994.91           
매머드커피 역삼메르디앙점,커피숍,"서울특별시 강남구 논현로63길 25, 지상1층 103호 (역삼동)",203372.840590865    ,443340.286878555    
카페일마지오 강남구청점,커피숍,"서울특별시 강남구 학동로 426, 강남구청 지상1층 (삼성동)",204128.390189926    ,446149.795461518    
빠나띠에,커피숍,"서울특별시 강남구 도곡로 209, 지상1층, 2층 (역삼동)",203626.467936615    ,443422.868425421    
퍼퓨머에이치,커피숍,"서울특별시 강남구 압구정로46길 55, 2층 (신사동)",203128.093274341    ,446971.178883684    
온당디저트,커피숍,"서울특별시 강남구 역삼로64길 18, 1층 101호 (대치동)",204621.848175009    ,444188.982576168    
티미커피(TiMi coffee),커피숍,"서울특별시 강남구 선릉로130길 20, 1층 106호 (삼성동, 래미안삼성2차아파트)",203770.384197358    ,445992.329114168    
초진주 슈퍼보바,커피숍,"서울특별시 강남구 압구정로 343, 갤러리아백화점 지하1층 (압구정동)",203470.848439305    ,447369.579851952    
독스아일랜드 논현,커피숍,"서울특별시 강남구 학동로33길 24, 지하1층 (논현동)",202793.287636822    ,446013.269230667    
피치그레이(Peach_Gray),커피숍,"서울특별시 강남구 봉은사로4길 32, 지상4층 (역삼동)",202287.324991865    ,444507.621244739    
