사업장명,업태구분명,도로명주소,좌표정보(X),좌표정보(Y)
스타벅스 서초우성사거리점,커피숍,"서울특별시 서초구 강남대로 343, 1층 (서초동)",202513.119414067    ,443478.806945055    
방배과일카페,커피숍,"서울특별시 서초구 방배로 269, 121호 (방배동)",198845.657797775    ,443825.9650708      
디저트콩콩,커피숍,"서울특별시 서대문구 거북골로14길 5, 북가좌삼호아파트 상가동 제지하층 제01호,제02호 (북가좌동)",192260.299912091    ,452692.508806554    
엔젤디오커피,커피숍,"서울특별시 서대문구 연세로 50, 지하2층 (신촌동, 연세대학교sk국제학사)",194584.959249312    ,451381.585492051    
달리는커피 양재우면점,커피숍,"서울특별시 서초구 중앙로 582, 서초타워 102호 (우면동)",201286.184985316    ,439441.292545164    
바나프레소 가산안양천점,커피숍,"서울특별시 금천구 가산디지털2로 127-143, 더센티아 1층 101호 (가산동)",189035.650969052    ,441817.164621805    
해리스카페,커피숍,"서울특별시 서초구 논현로1길 20, 우주빌딩 103호 (양재동)",204361.663541489    ,441046.473725168    
매머드커피익스프레스 답십리역점,커피숍,"서울특별시 동대문구 천호대로 305, 1층 (답십리동)",204750.498366411    ,451520.024760224    
메가엠지씨커피 양재말죽거리점,커피숍,"서울특별시 서초구 남부순환로356길 33, 1층 101호 (양재동)",203311.510959821    ,442373.928309843    
커피앤,커피숍,"서울특별시 서대문구 연희로41길 4, 103호 (홍은동, 현대아파트상가)",194431.210886894    ,454202.157007871    
카페 나루터로,커피숍,"서울특별시 서초구 나루터로15길 27, 1층 (잠원동)",201480.042736254    ,446060.441253163    
공차 명지대점,커피숍,"서울특별시 서대문구 거북골로 33, 1층 101호~103호 (남가좌동)",193224.910587162    ,453018.478353222    
카페리빈 홈플러스 금천점,커피숍,"서울특별시 금천구 시흥대로 391, 홈플러스 금천점 지상4층 X7,YE호 (독산동)",190809.507840375    ,440728.382273075    
블루샥(가산DK점),커피숍,"서울특별시 금천구 가산디지털2로 144, 1층 103호 (가산동)",189262.863257737    ,442093.310518456    
싱글오리진,커피숍,"서울특별시 서초구 성촌1길 12, 우면삼성프라자-2 1층 102호 (우면동)",201879.265466415    ,440383.505965875    
스타벅스 금천시흥점,커피숍,"서울특별시 금천구 시흥대로 164, 지상1층 (시흥동)",191368.522097415    ,438529.363086443    
조르막(Jormak),커피숍,"서울특별시 서초구 반포대로39길 42, 1층 (반포동)",200107.387385028    ,444012.897307673    
투썸플레이스 사당역 로데오점,커피숍,"서울특별시 서초구 방배천로2길 5, 1층 (방배동)",198443.027160659    ,441675.38554831     
Cafe The Tree,커피숍,"서울특별시 서초구 서초대로77길 54 (서초동,외1필지 서초더블유타워 501호내)",202117.592232177    ,444488.18998182     
띵크커피코리아(think coffee korea),커피숍,"서울특별시 서대문구 신촌로 83, 4층 (창천동)",194265.067639805    ,450433.691021245    
코어커피스탠드(coeur coffee stand),커피숍,"서울특별시 서초구 서초중앙로22길 40, 1층 102호 (서초동)",201361.269397446    ,443450.666112467    
메가엠지씨커피 함지박사거리점,커피숍,"서울특별시 서초구 동광로 75, 1층 (방배동)",199100.858117466    ,443429.869828771    
oase 오아제,커피숍,"서울특별시 영등포구 국제금융로 10, 서울 국제금융 센터 IFC몰 3동 37층 (여의도동)",193326.931018911    ,446973.914570276    
카페오마케,커피숍,"서울특별시 서대문구 신촌로 83, 현대백화점신촌점 지하2층 (창천동)",194265.067639805    ,450433.691021245    
Oriu,커피숍,"서울특별시 서초구 서초대로 134, 102호 (방배동)",199652.961703591    ,442913.017172802    
더레스트,커피숍,"서울특별시 서초구 헌릉로 164, 민예빌딩 5층 (염곡동)",205089.825984097    ,439455.025586146    
스타벅스 금천금나래,커피숍,"서울특별시 금천구 시흥대로79길 23, 1층 (시흥동)",190816.439494368    ,439621.756203798    
메가엠지씨커피 금천박미삼거리점,커피숍,"서울특별시 금천구 시흥대로 149, 신라상가 1층 102,103호 (시흥동)",191341.238749155    ,438365.613175801    
라시쓰커피(lasis),커피숍,"서울특별시 금천구 가산디지털2로 70, 대륭테크노타운19차 1층 104호 (가산동)",189504.258704224    ,441390.738560411    
별빛,커피숍,서울특별시 동대문구 안암로 6 (신설동),202086.895134218    ,452845.347007962    
커피올로지,커피숍,"서울특별시 서초구 사평대로 160, 지하1층 (반포동, 팔래스호텔)",200148.908812958    ,444359.607819267    
스타벅스타임스퀘어B2점,커피숍,"서울특별시 영등포구 영중로 15 (영등포동4가,지하2층)",191385.057392247    ,446098.555926507    
요거트가족 경희대점,커피숍,"서울특별시 동대문구 회기로 160, 1층 (회기동)",204667.11238476     ,454265.383154251    
커피시네마,커피숍,"서울특별시 영등포구 양평로21가길 4, 지에이치GH 1층 101호 (양평동5가)",190492.494552169    ,448392.607754176    
영커피 강남해커스점,커피숍,"서울특별시 서초구 강남대로61길 19, 벨라채오피스텔 104호 (서초동)",202115.410729601    ,444034.039603754    
카페공방,커피숍,"서울특별시 중랑구 용마산로99길 13, 1층 (망우동)",208517.182024867    ,454408.664686679    
카페네,커피숍,"서울특별시 금천구 시흥대로94길 11, 지상1층 (독산동)",190963.073598906    ,440007.045428735    
카페블루포트 금융감독원 9층점,커피숍,"서울특별시 영등포구 여의대로 38 (여의도동, 금융감독원빌딩 9층)",192976.019743053    ,446761.108856206    
웰어스,커피숍,"서울특별시 서초구 남부순환로 2137, 신관 1층 (방배동)",198743.866850026    ,441538.707106809    
라 파티쉐리 킴 방배역점,커피숍,"서울특별시 서초구 효령로29길 23, 1,2층 (방배동)",199500.20450797     ,442267.196033088    
라이프커피 컴퍼니,커피숍,"서울특별시 서대문구 이화여대7길 14, 1층 1호 (대현동)",195074.401280487    ,450726.950978125    
피씨앤푸드,커피숍,"서울특별시 동대문구 한빛로 74, 3층 (용두동)",202645.001216417    ,452883.473106219    
투데이즈 커피(Todayz coffee),커피숍,"서울특별시 동대문구 장한로26길 28, 1층 (장안동)",206390.173155611    ,452132.476869421    
코시스,커피숍,"서울특별시 서초구 남부순환로333길 22, 1층 (서초동)",201754.188695364    ,442382.777821408    
배꽃커피,커피숍,"서울특별시 서대문구 이화여대길 72-4, 지상1층 (대현동)",195029.973718641    ,450786.517291973    
멀티커피 영등포구청역점,커피숍,"서울특별시 영등포구 당산로 134-1, 1층 (당산동3가)",190833.82297947     ,447157.354983964    
이디야여의나루역점,커피숍,"서울특별시 영등포구 여의나루로 113, 2층 201,220,221호 (여의도동, 공작상가 )",193809.01252005     ,447090.147928667    
바나프레소 가산파트너스타워점,커피숍,"서울특별시 금천구 가산디지털1로 83, 파트너스타워 지상1층 103-1호 (가산동)",189700.026948955    ,441229.110998601    
유니유니베이비카페,커피숍,"서울특별시 동대문구 장한로 119, 2층 201호 (장안동, 삼성쉐르빌상가)",206101.9138443      ,452155.691148899    
북아현 마을 북카페,커피숍,"서울특별시 서대문구 북아현로 24, 북아현동주민센터 2층 (북아현동)",196133.72870894     ,450801.203483362    
매머드익스프레스 목2동점,커피숍,"서울특별시 양천구 목동중앙북로 73, 덕수프라자 1층 103호 (목동)",188563.746657935    ,449409.143621821    
L&H Deli(엘엔에이치델리),커피숍,"서울특별시 양천구 목동동로 177, 106호 (신정동, 삼성쉐르빌2)",188477.512184544    ,446607.030661726    
시즌글라스 디지탈미디어시티 협동조합,커피숍,"서울특별시 서대문구 불광천길 116, 1층 (북가좌동)",191778.716247587    ,453163.702487936    
매머드커피익스프레스(문래점),커피숍,"서울특별시 영등포구 선유로 76 (문래동3가, 동국메뜨리앙 1층 105호)",190199.2294276      ,446496.865300952    
커피에반하다(망우점),커피숍,"서울특별시 중랑구 망우로 495, 1층 (망우동)",209405.131185412    ,455389.711457077    
카페썸 cafe ssum,커피숍,"서울특별시 서초구 강남대로83길 64-2, 1층 (반포동)",201759.739987499    ,444734.010708906    
공차 예술의전당점,커피숍,"서울특별시 서초구 남부순환로 2406, 예술의전당 비타민스테이션 1층 (서초동)",201278.647889967    ,442099.753091778    
카페 어썸,커피숍,"서울특별시 금천구 가산디지털1로 131, BYC HIGHCITY 지하1층 B115(일부)호 (가산동)",189522.336721798    ,441654.010373182    
COFFEE KING 커피킹,커피숍,"서울특별시 금천구 시흥대로147길 14, 102호 (독산동, 탐진빌)",190852.935683048    ,441392.833472976    
홍제삼거리점 빽다방,커피숍,"서울특별시 서대문구 통일로 426, 1층 (홍제동)",195184.096878203    ,453892.979937057    
히얼,커피숍,"서울특별시 서대문구 충정로7길 9, 1층 102호 (충정로3가, 미동아파트)",196763.23582904     ,451217.585517322    
유별커피,커피숍,"서울특별시 동작구 사당로 172, 2층 (사당동)",197090.111265495    ,442701.231332923    
향기나는 굴뚝,커피숍,"서울특별시 서초구 전원말안1길 3-3, 지층  B103호 (방배동)",198939.814890712    ,440469.922020524    
와이쓰리에쓰,커피숍,"서울특별시 서대문구 거북골로 5, 1층 (홍은동)",193434.096775318    ,453204.457915531    
메가엠지씨커피 교대태성점,커피숍,"서울특별시 서초구 서초중앙로22길 45, 1층 1호 (서초동)",201385.065882606    ,443483.610890094    
미노커피,커피숍,"서울특별시 서초구 방배로8길 14, 1층 (방배동)",199895.673100053    ,441974.377129427    
메가엠지씨커피 등촌아이파크점,커피숍,"서울특별시 양천구 등촌로 180, 1층 (목동)",187795.606359804    ,449279.057082134    
카프요거트(Calf yogurt),커피숍,"서울특별시 서대문구 이화여대길 88-19, 1층 (대현동)",194978.383437764    ,450804.233771315    
온당,커피숍,"서울특별시 서대문구 증가로29길 20-4, 1층 (북가좌동)",192162.026235715    ,453323.682787848    
다크에디션 로스터리,커피숍,"서울특별시 서대문구 연희로11마길 12, 1층 102호 (연희동)",193565.619638853    ,451858.262850462    
떼르조나 TERZONA,커피숍,"서울특별시 서초구 효령로 208, 1층 (서초동)",200540.616874163    ,442308.717567848    
(주)커피빈코리아 신촌점,커피숍,"서울특별시 서대문구 연세로 8-1 (창천동,(지하1층))",194382.109981443    ,450450.682916715    
(주)뽀로로파크 롯데마트맥스 금천점,키즈카페,"서울특별시 금천구 두산로 71, 롯데VIC마켓금천점 지상3층 (독산동)",190704.904312713    ,440940.384414334    
파운데이 서초점,커피숍,"서울특별시 서초구 서운로11길 34, 1층 (서초동)",202282.438855114    ,442821.66007849     
할리스 가산대륭 22차점,커피숍,"서울특별시 금천구 가산디지털1로 146, 109,110,111호 (가산동)",189590.415184668    ,441837.131445595    
스노우빈,커피숍,"서울특별시 서초구 동광로18길 25, B동 1층 105호 (방배동, 방배엘리제)",199063.022379487    ,443178.144113876    
ENCOBA(엔코바),커피숍,"서울특별시 금천구 가산디지털1로 131, BYC HIGHCITY 127,128호 (가산동)",189522.336721798    ,441654.010373182    
메가엠지씨커피 서울교대사거리점,커피숍,"서울특별시 서초구 서초중앙로 72, 영빌딩 1층 101호 (서초동)",201247.715304571    ,442893.421443575    
coffee grade,커피숍,"서울특별시 양천구 중앙로51길 71, 1층 101호 (신월동, 송원주택)",186017.545310078    ,446822.148468958    
카페아이엔지 명지전문대점,커피숍,"서울특별시 서대문구 가좌로 134, 명지전문대학 예체능관 지하1층 (홍은동)",193310.670771252    ,453579.955844676    
마루내,커피숍,"서울특별시 동대문구 장한로28길 56, 105호 (장안동)",206562.649224959    ,452261.894728089    
데이테이블,커피숍,"서울특별시 양천구 목동동로 233-1, 드림타워 지하1층 107호 (목동)",188584.345447275    ,447255.070457495    
언제나 꽃 강남점,커피숍,"서울특별시 서초구 강남대로 345, 1층 2호 (서초동)",202504.273369185    ,443502.040030798    
빽다방 가산그레이트점,커피숍,"서울특별시 금천구 디지털로9길 32, 갑을그레이트밸리 1층 105호 (가산동)",189982.344533404    ,441928.69040241     
이디야 서대문구청점,커피숍,"서울특별시 서대문구 연희로 237, 1층 (연희동)",194250.026987502    ,452883.58998981     
투썸플레이스 영등포역점,커피숍,"서울특별시 영등포구 경인로 847, 1-2층 (영등포동3가)",191699.626868271    ,446063.182334665    
메가엠지씨커피 망우사거리점,커피숍,"서울특별시 중랑구 망우로 416, 1층 (망우동)",208616.651000986    ,455204.466330052    
오도레,커피숍,"서울특별시 서초구 사임당로 21 (서초동,(1층))",201038.268003936    ,442863.486446246    
브라운 브릭스,커피숍,"서울특별시 서초구 효령로 403, 서초그랑자이상가 B114호 (서초동)",202245.377899369    ,442987.986999742    
마시그래이,커피숍,"서울특별시 서대문구 연세로7안길 2, 1층 (창천동)",194310.856119863    ,450610.991440127    
투썸플레이스 가재울엘가점,커피숍,"서울특별시 서대문구 모래내로 151, 101동 101호 (남가좌동, 디엠씨엘가)",192667.239054602    ,451966.087876187    
스타벅스커피 금천독산점,커피숍,"서울특별시 금천구 두산로 70, 지하1층 T-L108호 (독산동, 현대지식산업센터)",190694.880295092    ,440764.426277932    
매머드익스프레스가산IT프리미어타워점,커피숍,"서울특별시 금천구 가산디지털1로 88, IT프리미어타워 102-2호 (가산동)",189778.774504778    ,441302.111937219    
고요한집,커피숍,"서울특별시 금천구 시흥대로 315, 금천롯데캐슬골드파크4차 지상2층 219호 (독산동)",190799.832998673    ,439885.941303087    
뉴핑크 화장품&카페,커피숍,"서울특별시 금천구 독산로 246, 1층 일부호 (독산동)",191304.128809359    ,440731.041445794    
블루뮤지엄,커피숍,"서울특별시 양천구 목동중앙북로 31, 1층 (목동)",188188.594744885    ,449554.911976327    
엘리펀트파크(더엘리펀트),커피숍,"서울특별시 서초구 바우뫼로6길 56, 1층 (우면동)",202388.3425631      ,440716.985855904    
커피온(Coffee ON),커피숍,"서울특별시 영등포구 버드나루로 104 (당산동,지상1층(일부))",191854.378909176    ,447255.599177386    
다람쥐곳간,커피숍,"서울특별시 서초구 효령로 292, 서울남부터미널 121-1호 (서초동)",201310.167766645    ,442438.500304691    
디자인수다,커피숍,"서울특별시 서초구 서초중앙로8길 18, B2층 (서초동)",201395.649950049    ,442716.201861289    
카페폭포,커피숍,"서울특별시 서대문구 연희로32길 51, 서대문자연사박물관 1층 (연희동)",194407.125214058    ,452710.666602664    
까페 더 트리(cafe THE TREE),커피숍,"서울특별시 서초구 강남대로25길 27, 1층 (양재동)",203205.19222269     ,441595.750205071    
커피앳더코너,커피숍,"서울특별시 서초구 논현로27길 21, 청화빌딩 1층 (양재동)",203685.782705019    ,442031.630203177    
배블(babble),커피숍,"서울특별시 양천구 은행정로7길 39, 1층 (신정동)",187137.277177525    ,446638.236515242    
